"GCM","scenario","proj.year","Act","Fdi","At","Ep","Pj","Acb","Sb","Sw","Pli","Bb","Bl","Bg","Cw","Dr","Fdc","Mb","Plc","Hw","Pw","Ss","Ps","Bc","Yp","Oc","Lw","Ba","Bp","Yc","Hm","Se"
"obs","obs",1975,16251,898,421,15264,0,0,0,0,1356,0,2777,2014,36614,19258,45029,20635,22118,50541,2226,7018,0,0,0,0,13686,19107,0,22352,28606,120
"obs","obs",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ensemble","ssp245",2001,17044,944,534,16564,0,0,0,0,1118,0,1601,2463,44138,23226,53502,21436,20686,53238,3741,4221,0,0,0,0,14529,14227,0,16211,21538,18
"ACCESS-ESM1-5","ssp245",2001,17806,934,481,18772,0,0,0,0,994,0,1195,2908,45326,25634,58898,22564,19214,51038,4990,2467,0,0,0,0,16560,13618,0,11394,15900,10
"CNRM-ESM2-1","ssp245",2001,18311,937,527,16406,0,0,0,0,1106,0,1736,2486,42426,21831,50207,22816,24416,53486,2145,5146,0,0,0,0,14330,13438,0,18577,24325,19
"EC-Earth3","ssp245",2001,15644,772,388,15039,0,0,0,0,865,0,1193,1789,44615,23875,54987,19052,18228,53998,4363,3630,0,0,0,0,13202,14728,0,15030,20047,12
"GFDL-ESM4","ssp245",2001,18690,802,445,15599,0,0,0,0,998,0,1746,1756,40768,22346,47435,20972,28753,54078,2544,6130,0,0,0,0,11458,14986,0,18691,24612,30
"GISS-E2-1-G","ssp245",2001,19103,978,526,17027,0,0,0,0,1143,0,1945,2646,42325,23147,50277,22960,28750,53408,2362,4470,0,0,0,0,13484,12938,0,16534,23042,15
"MIROC6","ssp245",2001,19428,962,566,17031,0,0,0,0,1148,0,1500,3109,43861,24218,53148,24398,28054,53094,2199,3747,0,0,0,0,14418,10334,0,14341,19883,14
"MPI-ESM1-2-HR","ssp245",2001,13642,940,482,13674,0,0,0,0,1172,0,1767,1538,41660,22796,52568,16568,14816,52436,4777,5195,0,0,0,0,12289,19083,0,17494,22542,50
"MRI-ESM2-0","ssp245",2001,14319,628,311,13873,0,0,0,0,746,0,1221,1033,44759,23563,54735,17102,16314,55632,4699,4456,0,0,0,0,12138,15404,0,15774,20774,20
"ensemble","ssp245",2021,18224,653,335,16272,0,0,0,0,686,0,744,622,48998,26528,58848,20697,18935,57840,3664,3030,0,0,0,0,14058,9310,0,11135,15648,1
"ACCESS-ESM1-5","ssp245",2021,17184,572,232,17264,0,0,0,0,490,0,324,652,49945,29818,66081,21373,13676,55551,6395,2396,0,0,0,2,15415,10267,0,5324,7836,1
"CNRM-ESM2-1","ssp245",2021,16762,755,372,15034,0,0,0,0,807,0,937,526,47486,26018,57475,18674,17703,57236,4360,3501,0,0,0,0,12836,12276,0,12435,17150,0
"EC-Earth3","ssp245",2021,16890,608,270,14328,0,0,0,0,550,0,450,238,48575,26208,58773,19319,18159,58534,3550,3243,0,0,0,0,12637,9182,0,11484,15713,8
"GFDL-ESM4","ssp245",2021,19774,767,418,17150,0,0,0,0,852,0,1028,1742,47199,25042,55852,23896,23406,56063,2005,3629,0,0,0,0,14948,7858,0,13076,18310,2
"GISS-E2-1-G","ssp245",2021,20959,735,364,16084,0,0,0,0,758,0,904,658,49233,27869,57310,22840,26464,59048,2470,2662,0,0,0,0,12551,6410,0,9299,14208,0
"MIROC6","ssp245",2021,20363,454,247,15177,0,0,0,0,510,0,598,904,48954,26954,56938,22824,25258,59018,1796,4390,0,0,0,0,12910,6715,0,10886,15469,0
"MPI-ESM1-2-HR","ssp245",2021,16450,923,466,15966,0,0,0,0,991,0,1164,830,46358,24651,56358,19003,17576,56033,4360,3698,0,0,0,0,13977,13079,0,13850,18568,5
"MRI-ESM2-0","ssp245",2021,11566,890,465,11453,0,0,0,0,724,0,332,102,50052,29092,63173,14131,11998,58049,8184,3089,0,0,0,0,9449,15126,0,7840,11384,8
"ensemble","ssp245",2041,18986,300,155,13630,0,0,0,0,306,0,259,97,51145,29360,61408,21074,22374,61206,3313,4862,0,0,0,0,11641,6326,0,7390,11056,0
"ACCESS-ESM1-5","ssp245",2041,9514,580,156,10133,0,0,0,0,377,0,37,144,48684,32870,71239,14791,11980,58022,10458,8599,11,0,0,679,8869,13890,0,1548,2386,0
"CNRM-ESM2-1","ssp245",2041,19387,707,312,15310,0,0,0,0,647,0,474,220,50490,28104,60048,21440,20454,59608,3322,2922,0,0,0,0,13142,7397,0,9082,13190,0
"EC-Earth3","ssp245",2041,19396,967,600,14833,0,0,0,0,840,0,255,102,50912,29173,62384,22937,21032,60632,2724,5812,0,0,0,0,13866,3707,0,6752,9988,2
"GFDL-ESM4","ssp245",2041,13452,97,34,8850,0,0,0,0,81,0,154,80,47613,28468,59792,14205,24888,62425,3574,16574,0,0,0,344,7322,8293,0,8950,12450,0
"GISS-E2-1-G","ssp245",2041,22188,296,118,12914,0,0,0,0,326,0,354,118,51461,30791,59633,23252,28538,62455,2116,3896,0,0,0,0,10065,4382,0,5996,9694,0
"MIROC6","ssp245",2041,18353,146,92,12014,0,0,0,0,190,0,191,128,49547,29216,59587,19924,26484,61928,2192,9376,0,0,0,1,9976,5554,0,7913,11567,0
"MPI-ESM1-2-HR","ssp245",2041,13850,516,253,11477,0,0,0,0,551,0,646,126,49165,28560,60048,15410,16753,58884,5924,5111,0,0,0,0,9131,13641,0,9327,13473,0
"MRI-ESM2-0","ssp245",2041,20546,712,486,10947,0,0,0,0,789,0,458,1,52887,31831,61081,22817,25420,63514,3877,2528,0,0,0,0,9027,5404,0,4696,7413,4
"ensemble","ssp245",2061,17368,254,162,10631,0,0,0,0,202,0,64,37,51024,31532,63584,19542,24343,62763,4478,9650,0,0,0,2,9044,7086,0,4853,7312,0
"ACCESS-ESM1-5","ssp245",2061,10036,781,119,9882,0,0,0,0,590,0,14,46,46868,33399,71488,15168,15204,58225,9057,13524,152,0,0,1145,8544,11335,0,673,1020,0
"CNRM-ESM2-1","ssp245",2061,18370,518,320,11338,0,0,0,0,406,0,67,35,50427,30397,62089,20466,25119,62392,3112,8898,0,0,0,0,9854,5113,0,6107,9012,0
"EC-Earth3","ssp245",2061,18006,1047,683,8170,0,0,0,0,798,0,100,37,49386,32736,62341,20326,29904,64140,2666,14698,6,0,0,1,7112,3004,0,3455,5102,1
"GFDL-ESM4","ssp245",2061,15758,236,105,12518,0,0,0,0,212,0,240,100,49025,28878,61420,17952,20143,60016,4005,9472,0,0,0,19,10954,8765,0,8238,11604,1
"GISS-E2-1-G","ssp245",2061,19716,158,65,9615,0,0,0,0,156,0,112,24,51065,32080,61228,21020,29945,64368,2808,10201,0,0,0,0,7763,4759,0,4508,7101,0
"MIROC6","ssp245",2061,13338,50,22,8077,0,0,0,0,51,0,97,65,49388,30538,62531,14375,25793,63591,5133,15069,0,0,0,157,6790,9558,0,6061,8884,0
"MPI-ESM1-2-HR","ssp245",2061,7198,312,143,6786,0,0,0,0,271,0,186,25,52250,32356,66809,9539,10238,60211,11851,7482,0,0,0,0,4926,20650,0,4446,6994,0
"MRI-ESM2-0","ssp245",2061,20226,690,490,10258,0,0,0,0,619,0,274,12,51950,32264,61528,22983,26932,63361,3052,5874,0,0,0,0,8532,4062,0,4062,6468,4
"ensemble","ssp245",2081,15170,125,80,7375,0,0,0,0,96,0,7,28,49115,32905,64943,17570,27751,63750,4606,16142,2,0,0,452,6063,6496,0,2838,4340,0
"ACCESS-ESM1-5","ssp245",2081,6022,577,56,7462,0,0,0,0,418,0,18,88,44001,32498,73028,11317,14718,57260,9178,17594,524,12,0,1972,6219,10834,0,705,1060,0
"CNRM-ESM2-1","ssp245",2081,11090,535,304,7479,0,0,0,0,406,0,12,20,51072,33108,67360,13623,20141,63127,8127,15588,36,0,0,9,6058,11636,0,3019,4502,0
"EC-Earth3","ssp245",2081,16728,839,372,6412,0,0,0,0,629,0,43,42,47972,34146,64424,19400,30014,63696,2608,19144,265,0,0,481,5622,3109,0,1541,2263,0
"GFDL-ESM4","ssp245",2081,17466,17,96,6320,0,0,0,0,147,0,129,50,48436,31460,58925,16308,36012,65168,1204,18639,0,0,0,1386,3812,2420,0,4314,6830,0
"GISS-E2-1-G","ssp245",2081,18966,84,26,8319,0,0,0,0,76,0,50,17,50932,33537,63165,21411,29251,64067,3596,10960,0,0,0,0,6654,5555,0,2738,4405,0
"MIROC6","ssp245",2081,15898,29,14,8423,0,0,0,0,26,0,5,89,45583,31396,64197,16967,30162,61800,2882,18143,13,6,0,2065,7544,4607,0,3151,4678,0
"MPI-ESM1-2-HR","ssp245",2081,15657,454,207,14292,0,0,0,0,496,0,384,114,50738,29631,63918,18928,17232,59230,5392,4907,0,0,0,0,12566,8945,0,6150,9214,3
"MRI-ESM2-0","ssp245",2081,13244,685,507,4722,0,0,0,0,539,0,116,5,50507,34131,64982,15438,27268,65299,6564,16032,69,0,0,0,3578,9100,0,2155,3212,0
